Initials_4letter,YYYYMMDDHHMM,Substrate,Treatment,col1mm2,col2mm2,col3mm2,Temp_C
SaMc,202101221442,Naan,Dark,13.816,6.05,7.039,20
SaMc,202101230955,Naan,Dark,27.433,11.63,14.507,20
SaMc,202101231702,Naan,Dark,35.758,14.538,28.708,20
SaMc,202101240946,Naan,Dark,40.281,17.039,52.626,20
SaMc,202101241603,Naan,Dark,47.23,19.167,66.435,20
SaMc,202101242202,Naan,Dark,52.088,19.832,87.762,20
SaMc,202101250805,Naan,Dark,78.851,22.565,105.319,20
AlNu,202101231438,BensWholeWheat ,Hot,15.41,,,27
AlNu,202101241623,BensWholeWheat ,Hot,50.04,,,27
AlNu,202101251340,BensWholeWheat ,Hot,194.12,,,27
AlNu,202101260952,BensWholeWheat ,Hot,316.77,,,27
GuKa,202101211506,Naan,Dark,12.104,4.386,5.152,20
GuKa,202101221442,Naan,Dark,23.646,8.54,7.152,20
GuKa,202101230955,Naan,Dark,31.848,31.164,10.918,20
